electrolyte_id,generation_method,total_mass,"1,2-dimethoxyethane","1,3-dioxolane",Aluminium Oxide,C1,C2,C3,CsNO3,DEC,diglyme,DMC,DTO,E1,EC,EMC,FEC,L1,Li2S,LiAlO2,LiBF4,LiBOB,LiFSI,LiNO3,LiPF6,LiPO2F2,LiTDI,LiTf,LiTFSI,Lithium Perchlorate,Montmorillonite,PC,PS,S1,S2,S3,SN,Sulfolane,TTE,VC,TMSPi,P2O5,LiDFOB,TFEO,BTFEC,BTFE,AN,LCE
20-1-36,0.0,5.137,0.0,0.0,0.0,0.0,0.0,0.0,0.006813315164492896,0.0,0.0,0.47887872299007206,0.0,0.0,0.3219778080591785,0.0,0.016935954837453766,0.0,0.0,0.0,0.0,0.053338524430601525,0.0,0.0,0.004282655246252677,0.0,0.0,0.0,0.11777301927194861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878049
20-1-37,0.0,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0019157088122605365,0.0,0.0,0.47777777777777786,0.0,0.0,0.32145593869731803,0.0,0.023946360153256706,0.0,0.0,0.0,0.0,0.053256704980842916,0.0,0.0,0.00421455938697318,0.0,0.0,0.0,0.11743295019157088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.850746
20-1-38,0.0,5.004,0.0,0.0,0.0,0.0,0.0,0.0,0.02817745803357314,0.0,0.0,0.4766187050359712,0.0,0.0,0.32054356514788174,0.0,0.0,0.0,0.0,0.0,0.0,0.05315747402078338,0.0,0.0,0.00419664268585132,0.0,0.0,0.0,0.11710631494804156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.981968
20-1-39,0.0,10.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0008820935019112026,0.0,0.0,0.4804469273743017,0.0,0.0,0.3231402528668039,0.0,0.019602077820248948,0.0,0.0,0.0,0.0,0.05351367244927963,0.0,0.0,0.004312457120454768,0.0,0.0,0.0,0.11810251886699992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893367
21-1-1,0.0,4.55,0.3516483516483517,0.0,0.0,0.0,0.0,0.0,0.0,0.5274725274725275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03296703296703297,0.0,0.0,0.0,0.0,0.0,0.0,0.08791208791208792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.807692
21-2-1,0.0,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.029577464788732393,0.0,0.0,0.46941649899396387,0.0,0.0,0.3084507042253521,0.0,0.020724346076458754,0.0,0.0,0.0,0.0,0.052313883299798795,0.0,0.0,0.004225352112676057,0.0,0.0,0.0,0.11549295774647887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375
21-3-1,0.0,41.93,0.0,0.0,0.0,0.0,0.0,0.0,0.04226091104221321,0.0,0.0,0.6405914619604102,0.0,0.0,0.044383496303362746,0.0,0.029525399475316003,0.0,0.0,0.0,0.0,0.07452897686620558,0.0,0.0,0.00605771523968519,0.0,0.0,0.0,0.16265203911280707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84375
21-20-3,0.0,3.886,0.0,0.07359752959341224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01363870303654143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9128152341739578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836066
21-20-26,0.0,4.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4780517137702946,0.0,0.0,0.32150731609540995,0.0,0.02972699939867709,0.0,0.0,0.0,0.0,0.05331729805572259,0.0,0.0,0.0,0.0,0.0,0.0,0.11745840849869713,0.0,0.0,0.0,0.0,0.014752455401884145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.871248
21-20-27,0.0,5.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4767139716170297,0.0,0.0,0.32060763541874876,0.0,0.029643813711772934,0.0,0.0,0.0,0.0,0.05316809914051569,0.0,0.0,0.0,0.0,0.0,0.0,0.11992804317409554,0.0,0.0,0.0,0.0,0.009894063561862882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.873065
